id,product_name,venue_id,created_at,updated_at
5,"Nova 5-STAR (5SD)",6,"2026-03-06 01:13:19","2026-03-06 01:13:19"
6,"3-STAR (3SD)",4,"2026-03-06 01:13:19","2026-03-06 01:13:19"
7,"PACIFIC STAR BUFFET (PSD)",5,"2026-03-06 01:13:19","2026-03-06 01:13:19"
8,"GREEN ROOM (LGRN)",8,"2026-03-06 01:13:19","2026-03-06 01:13:19"
9,"VIP WAIKIKI LUAU (VIPL)",9,"2026-03-06 01:13:19","2026-03-06 01:13:19"
10,"ORIGINAL WAIKIKI LUAU (LUAU)",10,"2026-03-06 01:13:19","2026-03-06 01:13:19"
11,"WAIKIKI LUAU BUFFET (WKLU)",11,"2026-03-06 01:13:19","2026-03-06 01:13:19"
