id,name,type,notes,created_at,updated_at
2,"Bread Sticks",dish,,"2026-03-05 22:49:10","2026-03-05 22:49:10"
3,Brioche,dish,,"2026-03-05 22:50:23","2026-03-05 22:50:23"
6,"Taro Roll",dish,,"2026-03-05 22:56:46","2026-03-05 23:22:07"
7,Lavosh,dish,,"2026-03-05 23:26:26","2026-03-05 23:26:26"
8,"Dobash Cake",dish,,"2026-03-06 01:25:56","2026-03-06 01:25:56"
9,"Coconut Cake",dish,,"2026-03-06 01:26:22","2026-03-06 01:26:22"
10,"Guave Cake",dish,,"2026-03-06 01:26:43","2026-03-06 01:31:00"
11,"Mango Mousse",dish,,"2026-03-07 22:11:30","2026-03-07 22:11:30"
